Team,Wins,Losses,W/L%
Golden State Warriors,73,9,0.89
San Antonio Spurs,67,15,0.817
Cleveland Cavaliers,57,25,0.695
Toronto Raptors,56,26,0.683
Oklahoma City Thunder,55,27,0.671
Los Angeles Clippers,53,29,0.646
Miami Heat,48,34,0.585
Atlanta Hawks,48,34,0.585
Boston Celtics,48,34,0.585
Charlotte Hornets,48,34,0.585
Indiana Pacers,45,37,0.549
Detroit Pistons,44,38,0.537
Portland Trail Blazers,44,38,0.537
Chicago Bulls,42,40,0.512
Dallas Mavericks,42,40,0.512
Memphis Grizzlies,42,40,0.512
Washington Wizards,41,41,0.5
Houston Rockets,41,41,0.5
Utah Jazz,40,42,0.488
Orlando Magic,35,47,0.427
Milwaukee Bucks,33,49,0.402
Sacramento Kings,33,49,0.402
Denver Nuggets,33,49,0.402
New York Knicks,32,50,0.39
New Orleans Pelicans,30,52,0.366
Minnesota Timberwolves,29,53,0.354
Phoenix Suns,23,59,0.28
Brooklyn Nets,21,61,0.256
Los Angeles Lakers,17,65,0.207
Philadelphia 76ers,10,72,0.122
